,V1,V2
관심,-6.2150645,-1.7671075
축제,8.971222,9.152895
일본,13.565442,9.701829
안,5.844239,5.128021
기자,3.7042117,-7.157646
달,10.340275,-6.1293592
대책,-4.2391224,4.104781
참석,4.7085795,-5.4039826
투자,21.5796,-4.6186376
종합,1.4110746,12.126817
공공,-2.2931695,-20.65801
가족,0.13251063,-12.240925
시행,-1.0905927,12.05245
의견,-2.579892,6.470719
경찰,2.097415,-2.9804153
우수,-8.865913,6.1636505
청소년,0.9441947,-14.274084
회의,3.6255498,-8.544019
법,-0.5813276,12.796666
교수,9.214354,-17.57296
특별,-13.286187,-6.247063
당,-7.5400643,-15.765612
뒤,4.8816667,-3.191225
장애,12.320411,-20.01903
역사,-4.203502,-4.4239492
교육청,8.401102,-11.04165
동안,10.386212,-2.0143569
결정,-2.5043583,3.2152197
모습,-4.4171424,-7.3823953
요구,-0.9489029,1.3774524
성장,-12.4760275,8.975004
경기도,8.741982,-10.441775
농업,-10.349185,8.340609
홍보,-10.871373,-4.950742
차량,-4.2861595,14.880059
강조,-0.11475912,3.859754
민주당,-7.489029,-15.533479
주요,2.6624076,0.006472372
분석,-4.6210246,1.0231229
공개,-8.04915,-6.9313455
지정,10.459449,16.301722
판매,-10.77194,16.190865
수출,14.12283,9.480276
병원,-5.3308625,-20.323404
해당,3.9978023,-0.2629212
최고,8.837487,5.1706533
층,14.493131,5.355106
자리,0.65882564,-5.239207
전망,7.6832285,3.3708973
제품,-10.644584,15.715744
생산,-9.467548,15.498645
만큼,1.2383368,2.8907456
가구,14.42382,1.6230812
사고,5.0313463,1.9332443
자원,-16.200233,-1.404273
추가,16.600737,7.980799
지적,-1.0505699,2.5580926
시스템,-7.9599113,11.132252
내년,8.753993,-3.819643
호,23.031143,4.2627463
충남,9.756413,-12.209675
생각,-1.6867856,-7.786973
대전,10.182814,-12.266916
일부,5.449863,3.5931015
주장,-0.23869985,1.1817006
협약,21.03673,-1.548722
사항,1.369555,-0.79526335
예술,-13.938822,-9.962261
처리,-16.467533,-6.275587
의료,-4.9715652,-20.976482
지난달,9.206248,-5.9624653
자치,3.6239495,-22.91451
제도,-2.1228662,12.295878
최대,13.196642,6.051616
가격,9.998582,4.0748925
창업,-17.442001,6.454163
역할,-0.032078777,4.512227
감사,0.5340178,-8.532016
기존,-3.6176069,9.597338
기반,-9.138329,10.793415
예방,3.6193893,1.6934344
문,1.4145887,-6.6938934
유치,21.608227,-4.654903
초,9.453891,-3.3837714
후보,-7.7861767,-11.747456
위원,-12.562548,-1.8081796
자유,-7.861123,-14.752401
자동차,-8.204606,14.322983
자신,-3.0667222,-7.723518
교통,-1.2958809,16.977852
오전,13.044224,-8.312879
수준,8.673845,4.21431
본부,5.553021,-13.570361
인,14.197595,1.0759181
속,-4.6258717,-7.6714034
시청,14.032302,-9.386253
관,10.75348,-21.612122
전체,9.090768,0.6778399
성공,7.514098,10.510007
다음,10.363764,-6.376944
대구시,8.51547,-10.075198
주제,-5.3109956,-8.763744
금융,7.679504,20.492805
미국,12.701042,9.832532
하나,-0.27618885,-7.238425
당진시,6.2489533,-10.144207
대응,-7.7508483,2.1249583
사랑,-0.7694141,-8.924566
감소,11.885786,3.0216324
점검,2.4991035,14.88161
방송,-8.814108,-6.163931
효과,3.0590975,5.1966987
당시,3.18012,-3.3215044
중국,13.017582,9.633318
이전,0.8233103,-19.089046
직원,-1.4178233,-4.6708517
협의,2.9331424,-9.969096
수영,10.366297,12.366911
전문가,-12.555565,-0.10696616
세,12.568112,0.27466077
행복,-1.3875089,-10.7299595
육성,-12.351998,6.9498696
공모,-5.5242686,6.397139
체계,-7.8571687,10.08641
선,23.028955,4.26301
나,-2.298655,-8.848651
아파트,-3.7317698,19.163176
해결,-6.523743,0.38099384
에너지,-10.405463,12.470445
예상,7.205481,3.0307312
해외,12.125624,8.286425
방침,-0.47206578,7.9946485
소통,0.13667135,-4.9496393
연계,-13.19831,4.3680887
목표,4.3624353,5.955844
논의,-2.6895275,4.897608
입장,-0.9535857,0.5696988
참가,-6.060115,-3.4752295
날,11.070479,-6.8660274
지구,9.649541,16.45259
개월,10.844359,-1.8484033
이하,12.884826,0.039357796
반영,-2.0047488,6.981195
중앙,19.105032,-8.2809925
성과,-8.106219,4.757463
지자체,5.0172205,-0.85793674
인사,-2.2340097,-5.1651382
작품,-11.654226,-8.089854
미세먼지,3.7590034,-5.658077
고객,-9.467403,-0.43487948
아이,-1.3765641,-10.011363
집중,0.4963935,7.773622
도로,-1.3343384,16.832687
조례,5.717415,4.292385
평균,9.610863,2.4470406
관계,-19.136564,-4.7804375
기회,2.2075462,4.1756444
정도,7.447991,1.4941926
전시,-12.129714,-7.6142893
심사,-6.042663,4.809196
식품,17.591919,-14.15222
민간,-2.3814902,-19.248081
측,0.368313,0.47408155
물,-5.5088043,-5.673569
집,-2.8547137,-9.97576
대학교,8.950874,-17.90414
기획,-12.675764,-7.007561
노인,11.982184,-20.76471
청,9.321418,-9.373995
인구,12.627696,2.616383
취업,-17.256748,5.052903
사건,3.0642405,-2.353157
일반,10.119202,0.27003428
최종,-5.332387,5.237677
도움,1.7014272,5.0005035
조치,4.7466393,7.5581055
건립,3.0991752,-17.518183
이유,0.44808477,1.6923667
단계,-0.93479925,10.053062
사례,-9.097423,5.7738976
체육,14.0793295,-16.596745
평화,-11.398251,-18.108685
중요,0.019707195,3.7785747
감독,-9.616969,-9.420709
검토,-2.2412686,4.8333154
방식,-3.6922855,9.535552
적용,-2.773611,11.001148
민주,-11.394598,-18.531157
공항,0.9203463,-19.854433
통합,0.9113581,-19.196648
스마트,-9.009733,12.150964
발굴,-11.609594,6.626035
시즌,7.6118984,-5.694681
선거,-8.345187,-12.0289
공급,-5.5998816,17.727676
사실,0.12114942,-0.6779887
상품,-11.210084,15.818458
지사,10.438782,-13.642429
바,-2.27348,1.7742203
상태,-1.8712122,-0.62881863
경영,-6.756889,17.390451
부지,0.731725,-17.957289
배,10.751786,1.9120679
전략,2.229051,10.776336
장관,-6.6477995,-11.209862
변화,-8.184198,1.9695377
고용,-18.671297,8.977277
재단,4.1761994,-15.921349
길,-3.9092715,-12.053198
공무원,-1.3018222,-4.594129
의미,-3.8260386,-3.6605287
시대,-8.897478,1.6975604
정상,2.5009005,-8.157457
협의회,3.8899739,-9.637452
도입,-2.3938446,12.015739
전달,1.8383249,-4.5854015
투입,17.423044,5.874792
협회,5.28696,-11.989985
각종,2.8376734,0.8848895
게,0.1412937,1.9957776
인력,-18.617495,2.0102603
교류,-20.177027,-3.2705622
수사,2.020191,-2.6169293
중소기업,19.558245,-7.557774
주변,-2.2961535,-13.55471
설립,3.6127067,-16.978167
농가,-9.716407,8.458613
체결,20.769789,-1.4769529
안정,-6.5291944,17.439863
위치,-3.0279675,-13.621814
최초,11.17685,7.0281663
조직,-6.7693186,8.159035
수립,0.8936391,10.984597
모집,15.298952,-1.4390703
자료,-4.0635448,-0.5219788
대한민국,8.547502,7.166283
희망,-1.3748313,-10.903931
처음,6.9896593,-2.8061182
글로벌,-11.947191,13.721237
가치,-4.560402,-2.710929
정치,-6.7598333,-13.610389
해,8.895142,-2.0092106
보호,1.6244874,-14.978
영화,-9.65321,-8.781661
최선,1.2559798,6.19932
창출,-17.842594,8.689794
작가,-11.54281,-8.259544
우려,3.080639,2.8357778
홈페이지,-0.6717646,-1.5834383
리그,7.5996804,-5.723372
부담,6.5709424,7.6467457
차지,8.820769,0.5942981
이야기,-3.8946762,-8.382932
공유,-8.889108,4.906514
상담,-18.181944,3.6682243
제출,-3.8567145,-0.7574441
지급,14.377024,13.255151
접수,-0.034236994,-2.7583263
국토,-6.042289,-11.018009
계약,20.054218,-1.3097137
어린이,0.54758865,-13.908642
수상,-8.303715,6.7261786
제작,-9.433488,-7.2272162
해양,-14.234734,4.3549843
역량,-14.46752,8.239739
그동안,3.0648482,-4.9886394
본격,7.7013717,-3.7596486
인근,-2.511582,-13.536331
봉사,-16.319908,-1.9842677
제시,-2.657764,5.861074
마음,-1.0357218,-8.543281
신고,0.6997458,-2.6721542
개인,-6.0636406,12.446233
기능,-4.407027,8.259617
기본,0.4442324,10.983231
정비,-0.14050741,14.70642
경남,11.795141,-12.56073
전통,-13.588878,-12.879715
아동,1.2870969,-14.5471325
공장,-8.634163,13.766808
현재,4.09011,-3.7449281
브랜드,-11.766561,14.641959
삶,-3.8824039,-9.243235
신규,-2.8955016,9.175007
회원,4.564514,-11.660165
기,14.425051,-5.680874
혐의,6.641585,14.957478
등록,-1.3631898,-3.0667448
버스,-4.3321176,13.270073
영상,-9.042161,-7.0402694
거리,-4.023434,-13.624623
그룹,7.68159,20.464891
상승,9.878494,3.7381678
유지,-2.2688558,-0.061432976
